锘夸氦鏄撴椂闂�,鍏紬璐﹀彿ID,鍟嗘埛鍙�,鐗圭害鍟嗘埛鍙�,璁惧鍙�,寰俊璁㈠崟鍙�,鍟嗘埛璁㈠崟鍙�,鐢ㄦ埛鏍囪瘑,浜ゆ槗绫诲瀷,浜ゆ槗鐘舵€�,浠樻閾惰,璐у竵绉嶇被,搴旂粨璁㈠崟閲戦,浠ｉ噾鍒搁噾棰�,寰俊閫€娆惧崟鍙�,鍟嗘埛閫€娆惧崟鍙�,閫€娆鹃噾棰�,鍏呭€煎埜閫€娆鹃噾棰�,閫€娆剧被鍨�,閫€娆剧姸鎬�,鍟嗗搧鍚嶇О,鍟嗘埛鏁版嵁鍖�,鎵嬬画璐�,璐圭巼,璁㈠崟閲戦,鐢宠閫€娆鹃噾棰�,璐圭巼澶囨敞
`2019-08-02 19:34:28,`wxacbf2cb4b15d0783,`1492995352,`0,`,`4200000349201908023340933763,`6474566031279993603533501,`ob4A106ueNqJtg2P15liu9ThijHo,`NATIVE,`SUCCESS,`CFT,`CNY,`30.00,`0.00,`0,`0,`0.00,`0.00,`,`,`绉垎鍏呭€兼敮浠�,`f4776d5f08a1c5faabedd3e9cfeabad7,`0.30000,`1.00%,`30.00,`0.00,`
`2019-08-02 18:08:00,`wxacbf2cb4b15d0783,`1492995352,`0,`,`4200000351201908024068290722,`6474047350065088004709488,`ob4A100rAtU_BpMzuisxNng2OiOo,`NATIVE,`SUCCESS,`HXB_CREDIT,`CNY,`5.00,`0.00,`0,`0,`0.00,`0.00,`,`,`绉垎鍏呭€兼敮浠�,`afbd782ff33cf6b8ee73e0da7d031598,`0.05000,`1.00%,`5.00,`0.00,`
`2019-08-02 12:40:15,`wxacbf2cb4b15d0783,`1492995352,`0,`,`4200000354201908028447257389,`ip201908021237446704,`ob4A10wE_pBdNmUtHcLHaq4UyQ5Y,`JSAPI,`SUCCESS,`CFT,`CNY,`5.00,`0.00,`0,`0,`0.00,`0.00,`,`,`榛勯噾浼氬憳1澶�,`ip201908021237446704__test__ob4A10wE_pBdNmUtHcLHaq4UyQ5Y,`0.05000,`1.00%,`5.00,`0.00,`
`2019-08-02 15:28:03,`wxacbf2cb4b15d0783,`1492995352,`0,`,`4200000351201908026573043629,`6473086697323107841767697,`ob4A108af5v59hvTdCgO6gEF02Dk,`NATIVE,`SUCCESS,`CFT,`CNY,`30.00,`0.00,`0,`0,`0.00,`0.00,`,`,`绉垎鍏呭€兼敮浠�,`0025952cc226a61ba77a91c6d30fe9e5,`0.30000,`1.00%,`30.00,`0.00,`
`2019-08-02 16:17:57,`wxacbf2cb4b15d0783,`1492995352,`0,`,`4200000345201908021356534450,`6473386565404510723715567,`ob4A108yIV8AzrRzbB3adlLnaN2g,`NATIVE,`SUCCESS,`CMB_CREDIT,`CNY,`48.00,`0.00,`0,`0,`0.00,`0.00,`,`,`绉垎鍏呭€兼敮浠�,`5b7bcf6e1673124a5bc6982e5b55048c,`0.48000,`1.00%,`48.00,`0.00,`
`2019-08-02 17:37:13,`wxacbf2cb4b15d0783,`1492995352,`0,`,`4200000341201908022321589831,`6473862145515203843493357,`ob4A101U2MRYOSqZO-WOnKRG5tGg,`NATIVE,`SUCCESS,`CFT,`CNY,`2.00,`0.00,`0,`0,`0.00,`0.00,`,`,`绉垎鍏呭€兼敮浠�,`33f9582cdddedb18c6e00882a258e7c4,`0.02000,`1.00%,`2.00,`0.00,`
`2019-08-02 12:33:34,`wxacbf2cb4b15d0783,`1492995352,`0,`,`4200000356201908029215698019,`ip201908021231052833,`ob4A10wE_pBdNmUtHcLHaq4UyQ5Y,`JSAPI,`SUCCESS,`CFT,`CNY,`10.00,`0.00,`0,`0,`0.00,`0.00,`,`,`鐧介噾浼氬憳1澶�,`ip201908021231052833__test__ob4A10wE_pBdNmUtHcLHaq4UyQ5Y,`0.10000,`1.00%,`10.00,`0.00,`
`2019-08-03 17:05:13,`wxacbf2cb4b15d0783,`1492995352,`0,`,`4200000356201908031773902674,`6482309520726704645563312,`ob4A10weNxseNdqpO1ZyTxQUwcVA,`NATIVE,`SUCCESS,`CFT,`CNY,`5.00,`0.00,`0,`0,`0.00,`0.00,`,`,`绉垎鍏呭€兼敮浠�,`20224010308dc9e928d58f4f645f86d4,`0.05000,`1.00%,`5.00,`0.00,`
`2019-08-03 17:20:32,`wxacbf2cb4b15d0783,`1492995352,`0,`,`4200000341201908031584955882,`6482399996500993289399582,`ob4A10yRilCnZ0NT96u2wJMRsxXA,`NATIVE,`SUCCESS,`ICBC_CREDIT,`CNY,`30.00,`0.00,`0,`0,`0.00,`0.00,`,`,`绉垎鍏呭€兼敮浠�,`d5deb1d10424b5c2e7b98ecde5b734a6,`0.30000,`1.00%,`30.00,`0.00,`
`2019-08-04 17:38:26,`wxacbf2cb4b15d0783,`1492995352,`0,`,`4200000341201908049808639291,`6491142928270005766322759,`ob4A103OuEglwQTPNl2W5IBxagUQ,`NATIVE,`SUCCESS,`CFT,`CNY,`48.00,`0.00,`0,`0,`0.00,`0.00,`,`,`绉垎鍏呭€兼敮浠�,`8a720400fe5563e3bc8d270453a89711,`0.48000,`1.00%,`48.00,`0.00,`
