锘夸氦鏄撴椂闂�,鍏紬璐﹀彿ID,鍟嗘埛鍙�,鐗圭害鍟嗘埛鍙�,璁惧鍙�,寰俊璁㈠崟鍙�,鍟嗘埛璁㈠崟鍙�,鐢ㄦ埛鏍囪瘑,浜ゆ槗绫诲瀷,浜ゆ槗鐘舵€�,浠樻閾惰,璐у竵绉嶇被,搴旂粨璁㈠崟閲戦,浠ｉ噾鍒搁噾棰�,寰俊閫€娆惧崟鍙�,鍟嗘埛閫€娆惧崟鍙�,閫€娆鹃噾棰�,鍏呭€煎埜閫€娆鹃噾棰�,閫€娆剧被鍨�,閫€娆剧姸鎬�,鍟嗗搧鍚嶇О,鍟嗘埛鏁版嵁鍖�,鎵嬬画璐�,璐圭巼,璁㈠崟閲戦,鐢宠閫€娆鹃噾棰�,璐圭巼澶囨敞
`2019-08-04 10:23:51,`wxacbf2cb4b15d0783,`1492995352,`0,`,`4200000358201908045239465978,`6488541889279102721032086,`ob4A10850MlI0NJaJEFnbPhle1Ew,`NATIVE,`SUCCESS,`CFT,`CNY,`30.00,`0.00,`0,`0,`0.00,`0.00,`,`,`绉垎鍏呭€兼敮浠�,`9415f8bbd222569eada50efd68264676,`0.30000,`1.00%,`30.00,`0.00,`
`2019-08-05 18:54:36,`wxacbf2cb4b15d0783,`1492995352,`0,`,`4200000357201908054861422728,`6500245946665692168980484,`ob4A108GbzTFB-rHVH45Q73_h89A,`NATIVE,`SUCCESS,`CFT,`CNY,`30.00,`0.00,`0,`0,`0.00,`0.00,`,`,`绉垎鍏呭€兼敮浠�,`5bdd546d4004a27f90dda23442e1a28b,`0.30000,`1.00%,`30.00,`0.00,`
`2019-08-05 15:09:23,`wxacbf2cb4b15d0783,`1492995352,`0,`,`4200000340201908058000302099,`6498894621282910723257629,`ob4A109Swi1MBnNwiS4ettRmrN3k,`NATIVE,`SUCCESS,`PAB_CREDIT,`CNY,`10.00,`0.00,`0,`0,`0.00,`0.00,`,`,`绉垎鍏呭€兼敮浠�,`f0dc70dd96d8bb3aee9e475b9a1a262a,`0.10000,`1.00%,`10.00,`0.00,`
`2019-08-05 12:04:16,`wxacbf2cb4b15d0783,`1492995352,`0,`,`4200000347201908051161532611,`6497780291859507206687983,`ob4A105czJFu2tbsQKdiAQDhwygE,`NATIVE,`SUCCESS,`CFT,`CNY,`48.00,`0.00,`0,`0,`0.00,`0.00,`,`,`绉垎鍏呭€兼敮浠�,`5e219be4fc1bbeeeb62a3fc0b5c95ca5,`0.48000,`1.00%,`48.00,`0.00,`
`2019-08-06 11:40:15,`wxacbf2cb4b15d0783,`1492995352,`0,`,`4200000342201908067665040544,`6506280316974807042132792,`ob4A10wobsN78izPLYmZGPu5xiHE,`NATIVE,`SUCCESS,`CFT,`CNY,`2.00,`0.00,`0,`0,`0.00,`0.00,`,`,`绉垎鍏呭€兼敮浠�,`7b5bdaf6e71f64e15d39b18d804b0d6b,`0.02000,`1.00%,`2.00,`0.00,`
`2019-08-06 16:20:44,`wxacbf2cb4b15d0783,`1492995352,`0,`,`4200000351201908063960399778,`6507962156699705604214735,`ob4A105Z67488lqiC4vtJ9kSePws,`NATIVE,`SUCCESS,`ABC_DEBIT,`CNY,`30.00,`0.00,`0,`0,`0.00,`0.00,`,`,`绉垎鍏呭€兼敮浠�,`b5178c0b69085a600b963a33e88260ab,`0.30000,`1.00%,`30.00,`0.00,`
`2019-08-06 11:10:48,`wxacbf2cb4b15d0783,`1492995352,`0,`,`4200000350201908063719807017,`6506102914915109124184594,`ob4A10wtfmHiy8L-b4j9Na5xe2BM,`NATIVE,`SUCCESS,`BOC_DEBIT,`CNY,`5.00,`0.00,`0,`0,`0.00,`0.00,`,`,`绉垎鍏呭€兼敮浠�,`579fd616529f57c1462e9b42c0fb450f,`0.05000,`1.00%,`5.00,`0.00,`
`2019-08-06 14:06:00,`wxacbf2cb4b15d0783,`1492995352,`0,`,`4200000356201908065672711721,`6507151707765698563676485,`ob4A107Ob2rzcamCh0q29MBVMG60,`NATIVE,`SUCCESS,`CMB_DEBIT,`CNY,`30.00,`0.00,`0,`0,`0.00,`0.00,`,`,`绉垎鍏呭€兼敮浠�,`c9021d479d1b803fd170f20bb4abdf5c,`0.30000,`1.00%,`30.00,`0.00,`
`2019-08-06 11:44:16,`wxacbf2cb4b15d0783,`1492995352,`0,`,`4200000343201908069565861965,`6506303039604997121652946,`ob4A101cgW8TtsyWfcoIVZobrwtc,`NATIVE,`SUCCESS,`CFT,`CNY,`48.00,`0.00,`0,`0,`0.00,`0.00,`,`,`绉垎鍏呭€兼敮浠�,`fe41bf9604c47a28055db2a3496f7262,`0.48000,`1.00%,`48.00,`0.00,`
`2019-08-07 16:32:22,`wxacbf2cb4b15d0783,`1492995352,`0,`,`4200000341201908073674816795,`6516672905539393287467301,`ob4A108T7mILm0LvYflBqaLTGmt8,`NATIVE,`SUCCESS,`CFT,`CNY,`30.00,`0.00,`0,`0,`0.00,`0.00,`,`,`绉垎鍏呭€兼敮浠�,`c6c413257e42d532dbbfa78b25be60df,`0.30000,`1.00%,`30.00,`0.00,`
`2019-08-07 19:44:16,`wxacbf2cb4b15d0783,`1492995352,`0,`,`4200000347201908072402579953,`6517824513356089606707879,`ob4A104VQcZN0W3wCNfmK4LkMxkc,`NATIVE,`SUCCESS,`CFT,`CNY,`5.00,`0.00,`0,`0,`0.00,`0.00,`,`,`绉垎鍏呭€兼敮浠�,`7e0b82c8bbd5482b48d61e586d8eb58b,`0.05000,`1.00%,`5.00,`0.00,`
`2019-08-08 14:20:50,`wxacbf2cb4b15d0783,`1492995352,`0,`,`4200000358201908083194276752,`6524523056092906241055503,`ob4A10xfif1hP4PJQ_XyoansSCFQ,`NATIVE,`SUCCESS,`CFT,`CNY,`1.00,`0.00,`0,`0,`0.00,`0.00,`,`,`绉垎鍏呭€兼敮浠�,`044e5e873ed07d7793ade294ad83efe0,`0.01000,`1.00%,`1.00,`0.00,`
`2019-08-08 17:08:20,`wxacbf2cb4b15d0783,`1492995352,`0,`,`4200000345201908080970997892,`6525528738476300808080265,`ob4A101G4ObWxGmr4a6X8xQsU1fA,`NATIVE,`SUCCESS,`CCB_DEBIT,`CNY,`30.00,`0.00,`0,`0,`0.00,`0.00,`,`,`绉垎鍏呭€兼敮浠�,`e31a59fb5f4f70bf9041be19dc2978ac,`0.30000,`1.00%,`30.00,`0.00,`
`2019-08-08 19:04:33,`wxacbf2cb4b15d0783,`1492995352,`0,`,`4200000345201908088999961253,`6526225498352002562929752,`ob4A101k5oFbsXUfkVIGStIvXYEk,`NATIVE,`SUCCESS,`ICBC_DEBIT,`CNY,`30.00,`0.00,`0,`0,`0.00,`0.00,`,`,`绉垎鍏呭€兼敮浠�,`11cd362f31e7a69c1b2a9845be47a4b1,`0.30000,`1.00%,`30.00,`0.00,`
`2019-08-08 17:31:13,`wxacbf2cb4b15d0783,`1492995352,`0,`,`4200000358201908087515947062,`6525665881923389447575036,`ob4A10wfqdKqGbPaEdv3rlzkxML8,`NATIVE,`SUCCESS,`CFT,`CNY,`10.00,`0.00,`0,`0,`0.00,`0.00,`,`,`绉垎鍏呭€兼敮浠�,`e3a4cfb66a05cdec3bfaa565549deb69,`0.10000,`1.00%,`10.00,`0.00,`
`2019-08-09 02:22:45,`wxacbf2cb4b15d0783,`1492995352,`0,`,`4200000351201908097495059242,`zl201908090219584178,`ob4A101pQkn1OBliRuRRdDrOc7FI,`JSAPI,`SUCCESS,`CFT,`CNY,`10.00,`0.00,`0,`0,`0.00,`0.00,`,`,`鐧介噾浼氬憳1澶�,`zl201908090219584178__test__ob4A101pQkn1OBliRuRRdDrOc7FI,`0.10000,`1.00%,`10.00,`0.00,`
`2019-08-09 17:39:05,`wxacbf2cb4b15d0783,`1492995352,`0,`,`4200000357201908090875894963,`6534353631687092488333406,`ob4A102UahviDc9iWijgv5Lky4Zw,`NATIVE,`SUCCESS,`CFT,`CNY,`3.00,`0.00,`0,`0,`0.00,`0.00,`,`,`绉垎鍏呭€兼敮浠�,`b7fa31b2c6234d004cf93551eb288fbf,`0.03000,`1.00%,`3.00,`0.00,`
`2019-08-09 16:44:24,`wxacbf2cb4b15d0783,`1492995352,`0,`,`4200000347201908097707593452,`6534025018322396165421716,`ob4A103fJFPvXxsyqqDWTa2Kmn9M,`NATIVE,`SUCCESS,`CFT,`CNY,`1.00,`0.00,`0,`0,`0.00,`0.00,`,`,`绉垎鍏呭€兼敮浠�,`503d1966b96b42d1630590c81ae7bd98,`0.01000,`1.00%,`1.00,`0.00,`
`2019-08-09 23:45:16,`wxacbf2cb4b15d0783,`1492995352,`0,`,`4200000354201908098431841533,`6536550723413300487064721,`ob4A1004g-IX42WslHInP4iF9qSM,`NATIVE,`SUCCESS,`CFT,`CNY,`10.00,`0.00,`0,`0,`0.00,`0.00,`,`,`绉垎鍏呭€兼敮浠�,`9568c0dd4c858f7e995ef47cd5db0b51,`0.10000,`1.00%,`10.00,`0.00,`
`2019-08-10 14:19:28,`wxacbf2cb4b15d0783,`1492995352,`0,`,`4200000352201908103140250393,`6541784313305998088713170,`ob4A10_miQa54aa19ZnF1dKbk7_8,`NATIVE,`SUCCESS,`CFT,`CNY,`30.00,`0.00,`0,`0,`0.00,`0.00,`,`,`绉垎鍏呭€兼敮浠�,`850d3303d3c4cc59dcb1200e746de3bf,`0.30000,`1.00%,`30.00,`0.00,`
`2019-08-10 15:17:32,`wxacbf2cb4b15d0783,`1492995352,`0,`,`4200000356201908105470004279,`6542138699381708808950349,`ob4A106mTUlXoU5POVbGV0oba-Z0,`NATIVE,`SUCCESS,`ICBC_DEBIT,`CNY,`5.00,`0.00,`0,`0,`0.00,`0.00,`,`,`绉垎鍏呭€兼敮浠�,`8cfc3dce66270dd83a516975511ad1c1,`0.05000,`1.00%,`5.00,`0.00,`
`2019-08-11 09:55:08,`wxacbf2cb4b15d0783,`1492995352,`0,`,`4200000342201908110071541778,`6548839686527299845371409,`ob4A10-Wt7p91rKAh0zPhADN1Z6U,`NATIVE,`SUCCESS,`CFT,`CNY,`1.00,`0.00,`0,`0,`0.00,`0.00,`,`,`绉垎鍏呭€兼敮浠�,`00a68009093d094e5f54775a520c2da9,`0.01000,`1.00%,`1.00,`0.00,`
`2019-08-11 11:12:49,`wxacbf2cb4b15d0783,`1492995352,`0,`,`4200000346201908116005582610,`6549314678738689284618241,`ob4A10-ci2UYsADm_I_7_04U0bus,`NATIVE,`SUCCESS,`CFT,`CNY,`10.00,`0.00,`0,`0,`0.00,`0.00,`,`,`绉垎鍏呭€兼敮浠�,`f98f781270100433c2a259ddda2723ef,`0.10000,`1.00%,`10.00,`0.00,`
`2019-08-11 09:14:40,`wxacbf2cb4b15d0783,`1492995352,`0,`,`4200000350201908112744972824,`6548606665749693443185546,`ob4A107JB5kNVCzUzpkOGZlCIIwU,`NATIVE,`SUCCESS,`CFT,`CNY,`1.00,`0.00,`0,`0,`0.00,`0.00,`,`,`绉垎鍏呭€兼敮浠�,`fc9e89a1bb90f96a1d7e8090eef74c72,`0.01000,`1.00%,`1.00,`0.00,`
`2019-08-11 13:30:20,`wxacbf2cb4b15d0783,`1492995352,`0,`,`4200000355201908111838019763,`6550140718317199365507973,`ob4A101CnvQmeEkmzPboM2sbykZ8,`NATIVE,`SUCCESS,`LQT,`CNY,`30.00,`0.00,`0,`0,`0.00,`0.00,`,`,`绉垎鍏呭€兼敮浠�,`f985dadadae01d63ae6c49c8f236f65f,`0.30000,`1.00%,`30.00,`0.00,`
`2019-08-11 22:09:21,`wxacbf2cb4b15d0783,`1492995352,`0,`,`4200000345201908119084074690,`6553255341766691848736740,`ob4A10_IlP1A4lLRlL-uMUN00k6c,`NATIVE,`SUCCESS,`CFT,`CNY,`10.00,`0.00,`0,`0,`0.00,`0.00,`,`,`绉垎鍏呭€兼敮浠�,`af850411ce9566887702ea1283c6f16f,`0.10000,`1.00%,`10.00,`0.00,`
`2019-08-11 13:37:27,`wxacbf2cb4b15d0783,`1492995352,`0,`,`4200000348201908112042899409,`6550182592440700169573477,`ob4A1037-2kth2APk0YzqKK3y_8Y,`NATIVE,`SUCCESS,`CEB_CREDIT,`CNY,`3.00,`0.00,`0,`0,`0.00,`0.00,`,`,`绉垎鍏呭€兼敮浠�,`d9c2cc924b3e393c88e587139eed1beb,`0.03000,`1.00%,`3.00,`0.00,`
`2019-08-12 19:12:22,`wxacbf2cb4b15d0783,`1492995352,`0,`,`4200000343201908126083539359,`6560833329013704969421781,`ob4A10x3yN5u8utGt-azvK-N5h6s,`NATIVE,`SUCCESS,`CFT,`CNY,`1.00,`0.00,`0,`0,`0.00,`0.00,`,`,`绉垎鍏呭€兼敮浠�,`637765734d9b0586ee75f448e001f392,`0.01000,`1.00%,`1.00,`0.00,`
`2019-08-12 15:10:08,`wxacbf2cb4b15d0783,`1492995352,`0,`,`4200000348201908120124810639,`6559379953107690249238259,`ob4A107GaKMVenm5NZcD4yyPKRf8,`NATIVE,`SUCCESS,`CCB_DEBIT,`CNY,`30.00,`0.00,`0,`0,`0.00,`0.00,`,`,`绉垎鍏呭€兼敮浠�,`f02d488d57f5f9125c66d0ddcfe6d25d,`0.30000,`1.00%,`30.00,`0.00,`
`2019-08-12 09:59:29,`wxacbf2cb4b15d0783,`1492995352,`0,`,`4200000343201908123875944322,`6557514829668903684051460,`ob4A1018-iiCpT28joQLuS4hEBRU,`NATIVE,`SUCCESS,`CFT,`CNY,`1.00,`0.00,`0,`0,`0.00,`0.00,`,`,`绉垎鍏呭€兼敮浠�,`4ece5e903b4a643907fffdfac7b66aa4,`0.01000,`1.00%,`1.00,`0.00,`
`2019-08-12 15:48:43,`wxacbf2cb4b15d0783,`1492995352,`0,`,`4200000339201908125058533642,`6559611148647308805897832,`ob4A103JJXf7rY9z6c2fC2B3adJQ,`NATIVE,`SUCCESS,`CFT,`CNY,`1.00,`0.00,`0,`0,`0.00,`0.00,`,`,`绉垎鍏呭€兼敮浠�,`ed4d4a6576b40b07e195b36805dfa969,`0.01000,`1.00%,`1.00,`0.00,`
`2019-08-12 22:22:41,`wxacbf2cb4b15d0783,`1492995352,`0,`,`4200000346201908126510839087,`6561975279315709447452150,`ob4A101awHtHwEXY81kH0PswnbU4,`NATIVE,`SUCCESS,`ICBC_DEBIT,`CNY,`5.00,`0.00,`0,`0,`0.00,`0.00,`,`,`绉垎鍏呭€兼敮浠�,`a55c02e1f8b6924769cfb3e79bf2091f,`0.05000,`1.00%,`5.00,`0.00,`
`2019-08-12 23:14:02,`wxacbf2cb4b15d0783,`1492995352,`0,`,`4200000358201908125420251195,`6562282347408008961809697,`ob4A107c4Vt6wKKB9xu8Y3_k0yMk,`NATIVE,`SUCCESS,`CFT,`CNY,`3.00,`0.00,`0,`0,`0.00,`0.00,`,`,`绉垎鍏呭€兼敮浠�,`cdd93b67a8cbdb688a78aef1f2d5aa6b,`0.03000,`1.00%,`3.00,`0.00,`
`2019-08-12 21:12:21,`wxacbf2cb4b15d0783,`1492995352,`0,`,`4200000350201908128627158250,`6561552858556794883477852,`ob4A105czJFu2tbsQKdiAQDhwygE,`NATIVE,`SUCCESS,`ICBC_DEBIT,`CNY,`30.00,`0.00,`0,`0,`0.00,`0.00,`,`,`绉垎鍏呭€兼敮浠�,`cb544df0afb10778420ac132eb60f991,`0.30000,`1.00%,`30.00,`0.00,`
`2019-08-12 10:12:23,`wxacbf2cb4b15d0783,`1492995352,`0,`,`4200000358201908123835993456,`6557593063086891526110537,`ob4A1018-iiCpT28joQLuS4hEBRU,`NATIVE,`SUCCESS,`CFT,`CNY,`1.00,`0.00,`0,`0,`0.00,`0.00,`,`,`绉垎鍏呭€兼敮浠�,`5c0fa5b509a5b57b0a4b6cb2cd645151,`0.01000,`1.00%,`1.00,`0.00,`
`2019-08-12 10:53:31,`wxacbf2cb4b15d0783,`1492995352,`0,`,`4200000353201908124454544115,`6557839836627793928934464,`ob4A1018-iiCpT28joQLuS4hEBRU,`NATIVE,`SUCCESS,`CFT,`CNY,`3.00,`0.00,`0,`0,`0.00,`0.00,`,`,`绉垎鍏呭€兼敮浠�,`add7f9902ab40117053131d245b61879,`0.03000,`1.00%,`3.00,`0.00,`
`2019-08-12 22:25:26,`wxacbf2cb4b15d0783,`1492995352,`0,`,`4200000344201908122847847163,`6561992041354108169677297,`ob4A101awHtHwEXY81kH0PswnbU4,`NATIVE,`SUCCESS,`ICBC_DEBIT,`CNY,`4.00,`0.00,`0,`0,`0.00,`0.00,`,`,`绉垎鍏呭€兼敮浠�,`f1bad0d789b9f8f144a7eff69cfabc5a,`0.04000,`1.00%,`4.00,`0.00,`
`2019-08-13 11:33:47,`wxacbf2cb4b15d0783,`1492995352,`0,`,`4200000351201908137463870468,`6566719871010589441834940,`ob4A101cgW8TtsyWfcoIVZobrwtc,`NATIVE,`SUCCESS,`CFT,`CNY,`48.00,`0.00,`0,`0,`0.00,`0.00,`,`,`绉垎鍏呭€兼敮浠�,`72ec08242af1478793b96ce2ab38617d,`0.48000,`1.00%,`48.00,`0.00,`
`2019-08-13 13:54:06,`wxacbf2cb4b15d0783,`1492995352,`0,`,`4200000356201908139190018511,`6567562977688789763127313,`ob4A10xoHq5lP-Bhnj1T1P7vDFhQ,`NATIVE,`SUCCESS,`CFT,`CNY,`6.00,`0.00,`0,`0,`0.00,`0.00,`,`,`绉垎鍏呭€兼敮浠�,`16e670d44f13c75ee8ccd6e8367c8186,`0.06000,`1.00%,`6.00,`0.00,`
`2019-08-14 15:09:28,`wxacbf2cb4b15d0783,`1492995352,`0,`,`4200000341201908145510332179,`6576647881835102722636192,`ob4A10_miQa54aa19ZnF1dKbk7_8,`NATIVE,`SUCCESS,`CFT,`CNY,`48.00,`0.00,`0,`0,`0.00,`0.00,`,`,`绉垎鍏呭€兼敮浠�,`4f927696afce59e8c269c436784f2866,`0.48000,`1.00%,`48.00,`0.00,`
`2019-08-14 11:28:05,`wxacbf2cb4b15d0783,`1492995352,`0,`,`4200000352201908148024711342,`6575324153078508801642149,`ob4A105e3du2eCIvblajUCifFmN0,`NATIVE,`SUCCESS,`CFT,`CNY,`30.00,`0.00,`0,`0,`0.00,`0.00,`,`,`绉垎鍏呭€兼敮浠�,`d6d3a9e4282fa4bcfde79ad75b8f9774,`0.30000,`1.00%,`30.00,`0.00,`
`2019-08-14 04:57:53,`wxacbf2cb4b15d0783,`1492995352,`0,`,`4200000355201908148089565878,`6572986174752688641586858,`ob4A10wc8ZTnmCGoq4TbvGrxVU0o,`NATIVE,`SUCCESS,`CFT,`CNY,`1.00,`0.00,`0,`0,`0.00,`0.00,`,`,`绉垎鍏呭€兼敮浠�,`f3552a4b22204008e616627e49e189af,`0.01000,`1.00%,`1.00,`0.00,`
`2019-08-14 15:45:21,`wxacbf2cb4b15d0783,`1492995352,`0,`,`4200000341201908142986221805,`6576870790641999367990140,`ob4A106DQdAz7sGq0R-mYJ6J8qzc,`NATIVE,`SUCCESS,`CFT,`CNY,`30.00,`0.00,`0,`0,`0.00,`0.00,`,`,`绉垎鍏呭€兼敮浠�,`c1ff769fcd4cc5def960f70685f4b951,`0.30000,`1.00%,`30.00,`0.00,`
`2019-08-14 22:31:21,`wxacbf2cb4b15d0783,`1492995352,`0,`,`4200000343201908141088737647,`6579306235153889289464440,`ob4A10-rC69CK08uiio6OrLxomeM,`NATIVE,`SUCCESS,`CFT,`CNY,`30.00,`0.00,`0,`0,`0.00,`0.00,`,`,`绉垎鍏呭€兼敮浠�,`cbc23baa59627abcf917ed07abf1bd69,`0.30000,`1.00%,`30.00,`0.00,`
`2019-08-15 09:23:27,`wxacbf2cb4b15d0783,`1492995352,`0,`,`4200000352201908151359631632,`6583219063928794889847716,`ob4A10-H7zRB7d2vtZh3xvmGDnZU,`NATIVE,`SUCCESS,`CCB_DEBIT,`CNY,`5.00,`0.00,`0,`0,`0.00,`0.00,`,`,`绉垎鍏呭€兼敮浠�,`f071a60ff07029aa282e576c3c5ef889,`0.05000,`1.00%,`5.00,`0.00,`
`2019-08-15 14:50:09,`wxacbf2cb4b15d0783,`1492995352,`0,`,`4200000339201908150527867702,`6585179132649493765313274,`ob4A109RbQgEJ90RdFuHnl5SZ6M8,`NATIVE,`SUCCESS,`CFT,`CNY,`20.00,`0.00,`0,`0,`0.00,`0.00,`,`,`绉垎鍏呭€兼敮浠�,`da1f46f91eeb2f2bf7d99b58a5e293c7,`0.20000,`1.00%,`20.00,`0.00,`
`2019-08-15 12:52:58,`wxacbf2cb4b15d0783,`1492995352,`0,`,`4200000353201908158759674676,`6584471891293692167871447,`ob4A102iE_vcHMUmaFMrW76AkHmc,`NATIVE,`SUCCESS,`CFT,`CNY,`30.00,`0.00,`0,`0,`0.00,`0.00,`,`,`绉垎鍏呭€兼敮浠�,`deaf0bd927b67b84053592b541e9abfc,`0.30000,`1.00%,`30.00,`0.00,`
`2019-08-15 20:36:37,`wxacbf2cb4b15d0783,`1492995352,`0,`,`4200000346201908151274567293,`6587258408755898886816757,`ob4A109q5GmLuOvjEQFffQh8FXBY,`NATIVE,`SUCCESS,`CFT,`CNY,`3.00,`0.00,`0,`0,`0.00,`0.00,`,`,`绉垎鍏呭€兼敮浠�,`408c52de024a0883ae8bc645b0560db0,`0.03000,`1.00%,`3.00,`0.00,`
`2019-08-16 11:45:51,`wxacbf2cb4b15d0783,`1492995352,`0,`,`4200000349201908162468888866,`6592709797146201601531028,`ob4A106mb2H_pWsT5N1EIcUsQrnQ,`NATIVE,`SUCCESS,`ICBC_DEBIT,`CNY,`48.00,`0.00,`0,`0,`0.00,`0.00,`,`,`绉垎鍏呭€兼敮浠�,`7eb7b8f0d517c10fedbab5d1f02d165c,`0.48000,`1.00%,`48.00,`0.00,`
`2019-08-16 10:29:44,`wxacbf2cb4b15d0783,`1492995352,`0,`,`4200000344201908161144539495,`6592257180829000962040617,`ob4A104ZBYEWI0AFXQ03ibG68Cws,`NATIVE,`SUCCESS,`CFT,`CNY,`48.00,`0.00,`0,`0,`0.00,`0.00,`,`,`绉垎鍏呭€兼敮浠�,`23f7ba278957236f9238e71da88f5070,`0.48000,`1.00%,`48.00,`0.00,`
`2019-08-17 11:09:00,`wxacbf2cb4b15d0783,`1492995352,`0,`,`4200000357201908171226013720,`6601132337428998404412934,`ob4A10x82H9gdbupv7GzILxcRcdA,`NATIVE,`SUCCESS,`CFT,`CNY,`30.00,`0.00,`0,`0,`0.00,`0.00,`,`,`绉垎鍏呭€兼敮浠�,`d43dcf8928633dda75bd4b64853906b3,`0.30000,`1.00%,`30.00,`0.00,`
