交易时间,公众账号ID,商户号,特约商户号,设备号,微信订单号,商户订单号,用户标识,交易类型,交易状态,付款银行,货币种类,应结订单金额,代金券金额,微信退款单号,商户退款单号,退款金额,充值券退款金额,退款类型,退款状态,商品名称,商户数据包,手续费,费率,订单金额,申请退款金额,费率备注
`2019-08-08 15:21:59,`wxfa32342b0ac354d3,`1501825671,`0,`,`4200000384201908080703148759,`201908081521431605,`oYS4I0rDN7BM3aYMsG2lB5xrhz14,`APP,`SUCCESS,`CFT,`CNY,`10.00,`0.00,`0,`0,`0.00,`0.00,`,`,`白金会员1天,`201908081521431605__test__app,`0.10000,`1.00%,`10.00,`0.00,`
`2019-08-10 16:18:26,`wxfa32342b0ac354d3,`1501825671,`0,`,`4200000373201908100916032422,`201908101618206792,`oYS4I0hYlvOzVMiUzi1BSqvOXAFY,`APP,`SUCCESS,`CMB_CREDIT,`CNY,`10.00,`0.00,`0,`0,`0.00,`0.00,`,`,`白金会员1天,`201908101618206792__test__app,`0.10000,`1.00%,`10.00,`0.00,`
`2019-08-10 03:29:36,`wxfa32342b0ac354d3,`1501825671,`0,`,`4200000401201908104569692891,`201908100329292260,`oYS4I0pYzS9djNtxv3RAIvYvN3uY,`APP,`SUCCESS,`CCB_DEBIT,`CNY,`10.00,`0.00,`0,`0,`0.00,`0.00,`,`,`白金会员1天,`201908100329292260__test__app,`0.10000,`1.00%,`10.00,`0.00,`
`2019-08-14 08:37:09,`wxfa32342b0ac354d3,`1501825671,`0,`,`4200000400201908148376829835,`201908140836551591,`oYS4I0jFJ5SP_5Yr1ArxvFNHiawI,`APP,`SUCCESS,`ICBC_DEBIT,`CNY,`10.00,`0.00,`0,`0,`0.00,`0.00,`,`,`白金会员1天,`201908140836551591__test__app,`0.10000,`1.00%,`10.00,`0.00,`
`2019-08-15 13:07:59,`wxfa32342b0ac354d3,`1501825671,`0,`,`4200000374201908151828790050,`201908151307441833,`oYS4I0jFJ5SP_5Yr1ArxvFNHiawI,`APP,`SUCCESS,`ICBC_DEBIT,`CNY,`10.00,`0.00,`0,`0,`0.00,`0.00,`,`,`白金会员1天,`201908151307441833__test__app,`0.10000,`1.00%,`10.00,`0.00,`
`2019-08-16 17:53:44,`wxfa32342b0ac354d3,`1501825671,`0,`,`4200000381201908163320461516,`201908161753316468,`oYS4I0jFJ5SP_5Yr1ArxvFNHiawI,`APP,`SUCCESS,`ICBC_DEBIT,`CNY,`10.00,`0.00,`0,`0,`0.00,`0.00,`,`,`白金会员1天,`201908161753316468__test__app,`0.10000,`1.00%,`10.00,`0.00,`
`2019-08-18 00:42:47,`wxfa32342b0ac354d3,`1501825671,`0,`,`4200000377201908185059243536,`201908180042421879,`oYS4I0qBl7d7-vPDdqvTn6iJq0Mc,`APP,`SUCCESS,`CFT,`CNY,`10.00,`0.00,`0,`0,`0.00,`0.00,`,`,`白金会员1天,`201908180042421879__test__app,`0.10000,`1.00%,`10.00,`0.00,`
总交易单数,应结订单总金额,退款总金额,充值券退款总金额,手续费总金额,订单总金额,申请退款总金额
`7.0,`70.0,`0.0,`0.0,`0.7,`70.0,`0.0
